//ID   MaxSocket
26     3
27     3
28     3
1040     3
1041     3
2071     5
2580	 3
2590     3
2591     3
3089     3
3090     3
3091     3
3092     3
3093	 3
3628	 3
3629     3
3630     3
3633     3
3634     3
3635     3
3636     3
3636     3
4141     3
4142     3
4143     3
4144     3
4145     3
4146     3
4147     3
4148     3
4149     3
4652	 3
4653     3
4654     3
4655     3
4656     3
4657     3
4658     3
4659     3
4660     3
4661     3
5164	 3
5165     3
5166     3
5167     3
5168     3
5169     3
5170     3
5171     3
5172     3
5173     3
5676	 3
5677     3
5678     3
5679     3
5680     3
5681     3
5682     3
5683     3
5684     3
5685     3
end
